n_qubits	avg_time	time_std
20	2.320781707763672	0.0
24	3.6934616565704346	0.0
28	5.488958358764648	0.0
32	7.972329378128052	0.0
36	9.718104600906372	0.0
40	11.77324104309082	0.0
44	12.733722686767578	0.0
48	14.902252197265625	0.0
52	16.377246379852295	0.0
56	16.967863082885742	0.0
60	18.40062952041626	0.0
64	18.877368688583374	0.0
68	21.358612537384033	0.0
72	23.19193124771118	0.0
76	23.96640920639038	0.0
80	27.790706634521484	0.0
84	27.0444917678833	0.0
88	28.958303451538086	0.0
92	30.02406406402588	0.0
96	32.415226459503174	0.0
100	35.0518844127655	0.0
