n_qubits	avg_time	time_std
20	1.6951005458831787	0.0
24	2.6147382259368896	0.0
28	4.5516557693481445	0.0
32	5.446171998977661	0.0
36	6.537858486175537	0.0
40	7.2545013427734375	0.0
44	9.201708316802979	0.0
48	9.905895709991455	0.0
52	11.510189771652222	0.0
56	11.609204053878784	0.0
60	13.48750925064087	0.0
64	14.80350136756897	0.0
68	15.745944499969482	0.0
72	17.517075061798096	0.0
76	18.2041175365448	0.0
80	18.665827751159668	0.0
84	18.05990171432495	0.0
88	19.521347045898438	0.0
92	20.73486042022705	0.0
96	23.09745955467224	0.0
100	22.68172812461853	0.0
